tag,cond_key,scope,dynamic,b,t,prec,tf32_lstm,num_repeat,feature_dim,lstm_n,allow_rnn,gpu,compile_s,ms_step_median,ms_step_mean,peak_GiB,graph_break,dynamo_frames,recompile_in_measure,status,error
axes-full,ec9c4b2deb7e344d,separator&spk,False,1,48000,fp32,True,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"TorchRuntimeError: Dynamo failed to run FX node with fake tensors: call_function <function batch_norm at 0x76b3cec5bb80>(*(FakeTensor(..., device='cuda:0', size=(1, 3072)), FakeTensor(..., device='cuda:0', size=(3072,)), FakeTensor(..., device='cuda:0', size=(3072,)), Parameter(FakeTensor(..., devic"
axes-full,5c0d1d5a66f80ac5,separator&spk,False,1,48000,fp16-mixed,False,6,128,12,False,3,nan,nan,nan,nan,0,0,0,ERROR,"TorchRuntimeError: Dynamo failed to run FX node with fake tensors: call_function <function batch_norm at 0x76b3cec5bb80>(*(FakeTensor(..., device='cuda:0', size=(1, 3072)), FakeTensor(..., device='cuda:0', size=(3072,)), FakeTensor(..., device='cuda:0', size=(3072,)), Parameter(FakeTensor(..., devic"
axes-full,c10fe46044af016c,separator&spk,False,2,48000,fp32,False,6,128,12,False,1,20.2,457.8,6285.7,4.95,3,39,22,ok,
axes-base,77e4cffcec2165a0,separator&spk,False,16,48000,fp16-mixed,True,6,128,12,False,0,24.7,618.5,7913.3,19.34,3,39,22,ok,
axes-base,49aa59649deb9d61,separator&spk,True,16,48000,fp16-mixed,True,6,128,12,False,0,43.3,613.4,616.0,19.38,4,11,0,ok,
axes-full,1dae39da0319d374,separator&spk,False,2,48000,fp32,True,6,128,12,False,3,21.2,413.4,6338.6,4.95,3,39,22,ok,
axes-full,b5cc5bb61c1f93fb,separator&spk,False,2,48000,bf16-mixed,True,6,128,12,False,1,24.2,445.1,7406.8,2.77,3,39,22,ok,
axes-full,c46069ad4eb54250,separator&spk,False,2,48000,fp16-mixed,False,6,128,12,False,3,24.0,418.6,7085.4,2.76,3,39,22,ok,
axes-full,59b7e89a02177550,separator&spk,False,4,48000,fp32,False,6,128,12,False,1,24.9,526.2,7434.9,9.57,3,39,22,ok,
axes-full,ab9cbba35a314480,separator&spk,False,4,48000,fp32,True,6,128,12,False,3,24.0,426.6,7459.5,9.57,3,39,22,ok,
axes-full,9251039680abfa67,separator&spk,False,4,48000,bf16-mixed,True,6,128,12,False,1,26.3,457.0,8137.7,5.13,3,39,22,ok,
axes-base,faed911ca8713c02,model,False,16,48000,fp16-mixed,True,6,128,12,False,0,125.0,599.9,20172.2,19.35,35,40,22,ok,
axes-full,00a370fc9ae70d54,separator&spk,False,4,48000,fp16-mixed,False,6,128,12,False,3,27.0,505.8,8209.0,5.13,3,39,22,ok,
axes-base,451114ad2e27a933,model,True,16,48000,fp16-mixed,True,6,128,12,False,0,225.6,576.2,578.0,19.44,5,12,0,ok,
axes-single,d4345b8ab0bc1f95,separator&spk,True,1,48000,fp16-mixed,True,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"TorchRuntimeError: Dynamo failed to run FX node with fake tensors: call_function <function batch_norm at 0x7595a1ddcb80>(*(FakeTensor(..., device='cuda:0', size=(1, 3072)), FakeTensor(..., device='cuda:0', size=(3072,)), FakeTensor(..., device='cuda:0', size=(3072,)), Parameter(FakeTensor(..., devic"
axes-single,71e325c7a21acf82,separator&spk,True,8,48000,fp16-mixed,True,6,128,12,False,0,48.7,460.5,466.1,9.94,4,11,0,ok,
axes-single,49aa59649deb9d61,separator&spk,True,16,48000,fp16-mixed,True,6,128,12,False,0,47.4,615.9,620.0,19.38,4,11,0,ok,
axes-full,f3de59ed3bbc1667,eager,-,1,48000,bf16-mixed,False,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,db5599788932fd90,separator&spk,False,8,48000,fp32,False,6,128,12,False,1,28.9,734.1,8815.3,18.8,3,39,22,ok,
axes-full,5cf89a8671146b01,eager,-,1,48000,fp16-mixed,True,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,1f286b431d14bbd9,eager,-,2,48000,bf16-mixed,False,6,128,12,False,0,0.0,424.5,430.0,2.75,0,0,0,ok,
axes-full,0775796c84a24f32,eager,-,2,48000,fp16-mixed,True,6,128,12,False,0,0.0,432.1,441.2,2.75,0,0,0,ok,
axes-full,ecb0db67f4a126b3,eager,-,4,48000,bf16-mixed,False,6,128,12,False,0,0.0,448.0,455.9,5.12,0,0,0,ok,
axes-full,75c8188c1cc0dd86,eager,-,4,48000,fp16-mixed,True,6,128,12,False,0,0.0,447.6,453.5,5.12,0,0,0,ok,
axes-full,dd5db3b51d62136c,eager,-,8,48000,bf16-mixed,False,6,128,12,False,0,0.0,452.8,462.1,9.88,0,0,0,ok,
axes-full,bccfcf3f8df284df,eager,-,8,48000,fp16-mixed,True,6,128,12,False,0,0.0,447.2,463.8,9.88,0,0,0,ok,
axes-full,2755227f5fda5938,eager,-,16,48000,bf16-mixed,False,6,128,12,False,0,0.0,653.1,655.9,19.38,0,0,0,ok,
axes-full,28d29120eb05b1af,eager,-,16,48000,fp16-mixed,True,6,128,12,False,0,0.0,624.5,628.0,19.38,0,0,0,ok,
axes-full,22ae5fd12865ab12,separator,False,1,48000,bf16-mixed,False,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,023bb648d2002ce7,separator&spk,False,8,48000,fp32,True,6,128,12,False,3,28.4,601.5,8524.0,18.8,3,39,22,ok,
axes-full,c5a34c908ea401f1,separator,False,1,48000,fp16-mixed,True,6,128,12,False,0,nan,nan,nan,nan,0,0,0,ERROR,"ValueError: Expected more than 1 value per channel when training, got input size torch.Size([1, 3072])"
axes-full,d92905117e2a073c,separator,False,2,48000,bf16-mixed,False,6,128,12,False,0,11.1,423.9,431.3,2.81,3,6,0,ok,
axes-full,0b4edf734b19458e,separator,False,2,48000,fp16-mixed,True,6,128,12,False,0,10.4,416.4,428.0,2.77,3,6,0,ok,
